year,name,median_sale_price
2014,Ravenswood,357500.0
2014,Ravenswood Gardens,516000.0
2014,Ravenswood Manor,413300.0
2014,River North,375125.0
2014,River West,356225.0
2014,Riverdale,11550.0
2014,Rogers Park,154875.0
2014,Rosehill,262750.0
2014,Roseland,34375.0
2014,Rosemoor,58250.0
2014,Schorsch Forest View,274250.0
2014,Schorsch Village,225000.0
2014,Scottsdale,121257.5
2014,Sheffield,657250.0
2014,Sheridan Park,253750.0
2014,Sheridan Station Corridor,313625.0
2014,Slag Valley,59000.0
2014,Sleepy Hollow,180500.0
2014,Soldier Field Complex,649000.0
2014,South Austin,43755.5
2014,South Chicago,27500.0
2014,South Commons,66750.0
2014,South Deering,25399.5
2014,South East Ravenswood,620750.0
2014,South Edgebrook,349000.0
2014,South Lawndale,64750.0
2014,South Lawndale / Little Village,66025.0
2014,South Loop,333000.0
2014,South Old Irving Park,232500.0
2014,South Shore,47375.0
2014,South Side,105000.0
2014,Southwest Side,112019.25
2014,St. Ben'S,559250.0
2014,Stateway Gardens,193500.0
2014,Stony Island Park,57750.0
2014,Streeterville,448375.0
2014,Tally'S Corner,323700.0
2014,The Bush,15863.5
2014,The Chicago University,46250.0
2014,The Gap,263300.0
2014,The Island,102460.5
2014,The Villa,356500.0
2014,Tri-Taylor,147750.0
2014,Ukrainian Village,449750.0
2014,Union Ridge,262125.0
2014,Uptown,233950.0
2014,Vittum Park,158250.0
2014,Waclawowo,263250.0
2014,Washington Heights,58225.0
2014,Washington Park,44125.0
2014,West Beverly,198750.0
2014,West Chatham,90728.25
2014,West Chesterfield,71000.0
2014,West Depaul,691500.0
2014,West Elsdon,139475.0
2014,West Englewood,15425.0
2014,West Garfield Park,33155.0
2014,West Humboldt Park,76375.0
2014,West Lake View,442750.0
2014,West Lawn,130436.0
2014,West Morgan Park,207375.0
2014,West Pullman,27206.25
2014,West Ridge,137500.0
2014,West Side,279875.0
2014,West Town,410000.0
2014,West Walker,322500.0
2014,West Woodlawn,33237.5
2014,Wicker Park,432500.0
2014,Wildwood,408750.0
2014,Woodlawn,59950.0
2014,Woodlawn Ridge,43275.0
2014,Wrightwood,302500.0
2014,Wrigleyville,415125.0
2015,Albany Park,254250.0
2015,Andersonville,370625.0
2015,Archer Heights,175625.0
2015,Archer Highlands,175000.0
2015,Armour Square,261375.0
2015,Ashburn,144075.0
2015,Ashburn Estates,173750.0
2015,Auburn Gresham,55000.0
2015,Austin,94500.0
2015,Avalon Park,73875.0
2015,Avondale,310975.0
2015,Back Of The Yards,47625.0
2015,Belmont Cragin,198000.0
2015,Belmont Heights,212000.0
2015,Belmont Terrace,233750.0
2015,Beverly,264750.0
2015,Beverly View,138750.0
2015,Beverly Woods,135125.0
2015,Big Oaks,262250.0
2015,Bowmanville,364375.0
2015,Brainerd,70567.25
2015,Brickyard,169600.0
2015,Bridgeport,296750.0
2015,Brighton Park,132825.0
2015,Bronzeville,131731.75
2015,Bryn Mawr Highlands,40000.0
2015,Bryn Mawr Historic District,191500.0
2015,Brynford Park,305000.0
2015,Bucktown,491750.0
2015,Budlong Woods,166500.0
2015,Buena Park,232000.0
2015,Burnside,40000.0
2015,Cabrini-Green,588836.25
2015,Calumet Heights,80000.0
2015,Canaryville,194575.0
2015,Carl Sandburg Village,198850.0
2015,Centerfield,176000.0
2015,Central Chicago,375000.0
2015,Central Station,457500.0
2015,Chatham,65112.75
2015,Chicago Lawn,77250.0
2015,Chinatown,240000.0
2015,Chrysler Village,126250.0
2015,Clarendon Park,188450.0
2015,Clearing,165500.0
2015,Cottage Grove Heights,45875.0
2015,Cragin,205000.0
2015,Dearborn Park,359288.75
2015,Depaul,665500.0
2015,Douglas,149500.0
2015,Douglas Park,48275.0
2015,Downtown Chicago,380000.0
2015,Dunning,220200.0
2015,East Beverly,202475.0
2015,East Chatham,32500.0
2015,East Garfield Park,80625.0
2015,East Humboldt Park,340250.0
2015,East Pilsen,225650.5
2015,East Ravenswood Historic District,287250.0
2015,East Rogers Park,173750.0
2015,East Side,72250.0
2015,East Ukrainian Village,462500.0
2015,Edgebrook,433750.0
2015,Edgewater,214150.0
2015,Edgewater Beach,160125.0
2015,Edgewater Glen,339750.0
2015,Edison Park,310750.0
2015,Englewood,20150.0
2015,Englewood Heights,82725.0
2015,Far North Side,249250.0
2015,Far Southeast Side,50350.0
2015,Far Southwest Side,142399.5
